title,location,price,duration,description,main_image_url,extra_images_urls
Beach Paradise,Goa,1500,3 Days/2 Nights,Relaxing beach vacation with sunset views,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,https://images.unsplash.com/photo-1493558103817-58b2924bce98|https://images.unsplash.com/photo-1519046904884-53103b34b206
Mountain Adventure,Himachal,2000,5 Days/4 Nights,Thrilling mountain trek through pine forests,https://images.unsplash.com/photo-1501785888041-af3ef285b470,https://images.unsplash.com/photo-1506905925346-21bda4d32df4|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b
Desert Safari,Rajasthan,1800,4 Days/3 Nights,Camel safari and cultural experience,https://images.unsplash.com/photo-1524492412937-b28074a5d7da,https://images.unsplash.com/photo-1609137144813-7d9921338f24|https://images.unsplash.com/photo-1547036967-23d11aacaee0
Kerala Backwaters,Kerala,2200,6 Days/5 Nights,Houseboat cruise through serene backwaters,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,https://images.unsplash.com/photo-1593693397690-362cb9666fc2|https://images.unsplash.com/photo-1588409994805-89e8c6971eff
Taj Mahal Tour,Agra,1200,2 Days/1 Night,Iconic monument and heritage walk,https://images.unsplash.com/photo-1564507592333-c60657eea523,https://images.unsplash.com/photo-1587474260584-136574528ed5|https://images.unsplash.com/photo-1624138784614-87fd1b6528f8
Valley of Flowers,Uttarakhand,2500,7 Days/6 Nights,Alpine flowers and Himalayan meadows,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1486870591958-9b9d0d1dda99|https://images.unsplash.com/photo-1540979388789-6cee28a1cdc9
Andaman Islands,Andaman & Nicobar,3500,8 Days/7 Nights,Tropical beaches and scuba diving,https://images.unsplash.com/photo-1559827260-dc66d52bef19,https://images.unsplash.com/photo-1505142468610-359e7d316be0|https://images.unsplash.com/photo-1544551763-46a013bb70d5
Ladakh Expedition,Ladakh,4000,10 Days/9 Nights,High altitude desert and monasteries,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23|https://images.unsplash.com/photo-1571770095004-6d06c8fa5012
Varanasi Spiritual,Varanasi,1000,3 Days/2 Nights,Holy ghats and ancient temples,https://images.unsplash.com/photo-1561361513-2d000a50f0dc,https://images.unsplash.com/photo-1584200186925-87fa8f93be9b|https://images.unsplash.com/photo-1558431382-27e303142255
Munnar Tea Gardens,Tamil Nadu,1600,4 Days/3 Nights,Tea plantations and misty hills,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1597894736788-565f93de5c3a|https://images.unsplash.com/photo-1563729784474-d77dbb933a9e
Jaipur Heritage,Rajasthan,1400,3 Days/2 Nights,Pink city palaces and forts,https://images.unsplash.com/photo-1477587458883-47145ed94245,https://images.unsplash.com/photo-1599661046289-e31897846e41|https://images.unsplash.com/photo-1570168007204-dfb528c6958f
Rann of Kutch,Gujarat,2100,5 Days/4 Nights,White desert and cultural festival,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2,https://images.unsplash.com/photo-1608211697665-2ccac1d8c8d0|https://images.unsplash.com/photo-1618083707368-b3823daa2726
Darjeeling Hills,West Bengal,1700,4 Days/3 Nights,Toy train and tea estates,https://images.unsplash.com/photo-1560699029-89cd2d2c0a2f,https://images.unsplash.com/photo-1594787318286-3d835c1d207f|https://images.unsplash.com/photo-1591382386627-349b692688ff
Mysore Palace,Karnataka,1300,3 Days/2 Nights,Royal palace and Dasara celebrations,https://images.unsplash.com/photo-1607057041926-77764838bfbc,https://images.unsplash.com/photo-1596422846543-75c6fc197f07|https://images.unsplash.com/photo-1595790159448-36922c44935b
Coorg Coffee Land,Karnataka,1900,5 Days/4 Nights,Coffee plantations and waterfalls,https://images.unsplash.com/photo-1559827260-dc66d52bef19,https://images.unsplash.com/photo-1587474260584-136574528ed5|https://images.unsplash.com/photo-1501594907352-04cda38ebc29
Rishikesh Yoga,Uttarakhand,1100,4 Days/3 Nights,Yoga retreat and Ganges rafting,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b,https://images.unsplash.com/photo-1506126613408-eca07ce68773|https://images.unsplash.com/photo-1532274402911-5a369e4c4bb5
